Holiday list for 2017,,,,,,,
Sr#,Date,Day,Holiday,Mumbai,Pune,Gurgaon,Bangalore
1,25-Dec-17,,Christmas,Yes,Yes,Yes,Yes
2,24-Feb-17,,Mahashivratri,NA,NA,Yes,Yes
3,13-Mar-17,,Holi,Yes,Yes,Yes,NA
4,28-Mar-17,,Gudi Padwa/ Ugadi,Yes,Yes,NA,Yes
5,14-Apr-17,,Good Friday,NA,NA,Yes,NA
6,1-May-17,,Maharastra DAY / May Day,Yes,Yes,NA,Yes
7,26-Jun-17,,Eid al-Fitr/ Ramadan,Yes,Yes,Yes,NA
8,7-Aug-17,,RakshaBandhan,NA,NA,Yes,NA
9,15-Aug-17,,Independence Day,Yes,Yes,Yes,Yes
10,25-Aug-17,,Ganesh Chaturthi,Yes,Yes,NA,Yes
11,2-Oct-17,,Gandhi Jayanti,Yes,Yes,Yes,Yes
12,19-Oct-17,,Diwali,Yes,Yes,Yes,Yes
13,20-Oct-17,,Diwali - Govardhan,Yes,Yes,Yes,Yes
14,1-Nov-17,,Karnataka Day,NA,NA,NA,Yes
15,25-Dec-17,,Christmas,Yes,Yes,Yes,Yes
